MASTER TASK LIST — SaaS Undangan Digital,,,,,,,,,
"ID",Modul,Fitur / Task,Deskripsi,Phase,Prioritas,Estimasi (hari),Role Dev,Status,Catatan
AUTH-01,Auth & Onboarding,Registrasi vendor,"Form daftar: nama bisnis, email, password, nomor WA",Phase 1,High,2,Fullstack,Todo,
AUTH-02,Auth & Onboarding,Login vendor (email + Google OAuth),"NextAuth.js, session management, redirect ke dashboard",Phase 1,High,2,Fullstack,Todo,
AUTH-03,Auth & Onboarding,Verifikasi email,Kirim email verifikasi setelah daftar,Phase 1,Medium,1,Backend,Todo,
AUTH-04,Auth & Onboarding,Lupa password / reset,Flow reset via email dengan token expires 1 jam,Phase 1,Medium,1,Backend,Todo,
AUTH-05,Auth & Onboarding,Onboarding wizard vendor baru,"Step-by-step setup pertama: nama bisnis, logo, subdomain",Phase 1,Medium,2,Frontend,Todo,
AUTH-06,Auth & Onboarding,Multi-admin per vendor,"Invite anggota tim, role: owner / admin / staff",Phase 3,Low,3,Fullstack,Todo,Tier Pro ke atas
DASH-01,Dashboard Vendor,Halaman beranda dashboard,"Ringkasan: total order, undangan live, tamu RSVP, kuota tersisa",Phase 1,High,3,Frontend,Todo,
DASH-02,Dashboard Vendor,Widget kuota & upgrade CTA,"Progress bar kuota undangan, tombol upgrade jika hampir habis",Phase 1,High,1,Frontend,Todo,
DASH-03,Dashboard Vendor,Notifikasi in-app,"Bell icon dengan notif: klien submit, tamu RSVP, kuota mau habis",Phase 2,Medium,2,Fullstack,Todo,
DASH-04,Dashboard Vendor,Pengaturan profil vendor,"Nama bisnis, logo, email, nomor WA, ganti password",Phase 1,Medium,1,Fullstack,Todo,
DASH-05,Dashboard Vendor,Pengaturan subdomain,"Pilih subdomain unik (namavendor.saas.com), validasi ketersediaan",Phase 1,Medium,2,Backend,Todo,
DASH-06,Dashboard Vendor,Custom domain (white-label),"Input domain, generate instruksi DNS, auto SSL via Cloudflare",Phase 3,Low,5,DevOps,Todo,Tier Business
ORD-01,Order & Undangan,Buat order baru,"Form: nama klien, WA klien, pilih template, generate smart link",Phase 1,High,3,Fullstack,Todo,
ORD-02,Order & Undangan,List semua order,"Tabel order dengan filter status, search, pagination",Phase 1,High,2,Frontend,Todo,
ORD-03,Order & Undangan,Detail order,"Halaman detail: status, data klien, link undangan, daftar tamu",Phase 1,High,2,Frontend,Todo,
ORD-04,Order & Undangan,Edit minor data undangan,"Vendor bisa edit data setelah klien submit (nama, tanggal, lokasi)",Phase 1,Medium,2,Fullstack,Todo,
ORD-05,Order & Undangan,Duplicate order,Clone order dengan template sama untuk klien baru,Phase 2,Low,1,Backend,Todo,
ORD-06,Order & Undangan,Arsip & hapus order,"Soft delete, arsip order lama, restore dari arsip",Phase 2,Low,1,Backend,Todo,
ORD-07,Order & Undangan,Smart link generator,"Generate token unik 64 char, expires 30 hari, single-use submit",Phase 1,High,2,Backend,Todo,
ORD-08,Order & Undangan,Tombol kirim smart link via WA,Deep link ke WA Web/App dengan pesan + link sudah terisi,Phase 1,High,1,Frontend,Todo,
ORD-09,Order & Undangan,Tracking status order realtime,Status: Pending → Mengisi → Review → Live. Update otomatis,Phase 1,High,2,Fullstack,Todo,
ORD-10,Order & Undangan,Vendor approve sebelum live,Toggle: auto-live atau perlu approval vendor dulu,Phase 2,Medium,1,Fullstack,Todo,
TPL-01,Template Engine,JSON config schema template,"Definisikan schema: theme, sections, animations, font, warna",Phase 1,High,3,Backend,Todo,Fondasi semua template
